fck (MPa),Cement (Kg/m3),Water (Kg/m3),FA(Kg/m3),RFA(Kg/m3),CA(kg/m3),RCA (Kg/m3),MA(Kg/m3),CHA(Kg/m3)
45.4,187.5,142.5,880,0,648.75,216.25,187.5,7.9
42.6,187.5,142.5,880,0,648.75,216.25,187.5,8.9
42.9,375,142.5,880,0,432.5,432.5,0,6.77
32.2,187.5,142.5,880,0,432.5,432.5,187.5,8.7
38.6,187.5,142.5,880,0,432.5,432.5,187.5,8.84
38,187.5,142.5,880,0,432.5,432.5,187.5,9.21
37.9,375,142.5,880,0,216.25,648.75,0,7.2
27.6,187.5,142.5,880,0,216.25,648.75,187.5,9.23
31.1,187.5,142.5,880,0,216.25,648.75,187.5,9.32
29.2,187.5,142.5,880,0,216.25,648.75,187.5,11.42
43.4,440,211.2,846,0,750,0,146.67,4.4
48,440,211.2,846,0,600,133.6,146.67,4.4
45.6,440,211.2,676.8,143.82,750,0,146.67,4.4
46.9,440,211.2,676.8,143.82,600,133.6,146.67,4.4
43,344,186,835,0,810,0,186,5
36.4,344,186,751,30,810,0,186,6
32.7,344,186,668,60,810,0,186,6.7
28.6,344,186,585,90,810,0,186,7.2
43.8,350,179,975,0,623,0,220,3.5
45.4,350,172,731,165,467,195,220,3.85
50.3,350,172,585,264,374,313,220,3.85
51.1,350,179,975,0,0,589,220,4.2
46.36,400,190,904,0,700,0,58,320
55.58,400,190,904,0,560,140,58,4
54.7,400,190,904,0,350,350,58,4.8
44.04,400,190,904,0,0,700,58,5.4
74.2,635,247,847,0,565,0,71,2.286
72.8,635,247,847,0,423.75,141.25,71,2.29
70.9,635,247,847,0,282.5,282.5,71,2.29
64.7,635,247,847,0,141.25,423.75,71,2.29
63.4,635,247,847,0,0,565,71,2.29
45.6,426,176,772,0,624,267,107,1.16
49,384,176,772,0,624,267,150,1.16
42.53,341,176,772,0,624,267,192,1.16
37.22,298,176,772,0,624,267,235,1.16
32.11,256,176,772,0,624,267,278,1.16
28.1,213,176,772,0,624,267,320,1.16
60,300,165,1150,0,0,525,180,6.6
56,295,183,850,260,0,518,176,6.5
44,288,198,555,510,0,508,173,6.38
31,282,215,272,748,0,497,169,6.25
30,276,232,0,977,0,487,166,6.11
54.7,390,195,1025,0,0,700,75,5.85
59.3,390,195,1025,0,0,700,75,5.85
60.1,390,195,1025,0,0,700,75,5.85
61.7,390,195,1025,0,0,700,75,5.85
48.51,360,187.2,850,0,690,0,5,2.5
47.09,360,187.2,765,85,690,0,5,2.5
46.92,360,187.2,680,170,690,0,5,2.8
45.64,360,187.2,595,255,690,0,5,2.9
45.04,360,187.2,510,340,690,0,5,3
44.52,360,187.2,425,425,690,0,5,3.1
53.45,520,182,785,0,867,0,0,4.02
46.54,520,182,785,0,433,416.4,0,4.16
18.04,260,182,785,0,433,416.4,260,5.72
33.51,260,182,785,0,433,416.4,260,5.43
40.31,260,182,785,0,433,416.4,260,6.76
7.17,130,182,785,0,433,416.4,390,5.94
19.66,130,182,785,0,433,416.4,390,4.68
35.54,130,182,785,0,433,416.4,390,6.8
43.89,520,182,785,0,0,832,0,4.72
21,260,182,785,0,0,832,260,4.78
