fck (MPa),Cement (Kg/m3),Water (Kg/m3),FA(Kg/m3),RFA(Kg/m3),CA(kg/m3),RCA (Kg/m3),MA(Kg/m3),CHA(Kg/m3)
38,140,114,770,0,0,1115,187,3.464
37.4,124,122,770,0,0,1115,180,3.464
37,111,128,770,0,0,1115,174,3.464
33,99,133,770,0,0,1115,169,3.464
54,284.9,161.3,730.8,0,807.9,0,370.2,3.4
54,284.9,163.2,730.8,0,646.3,149.6,370.2,4.8
53,284.9,160.7,730.8,0,484.8,299.3,370.2,4.6
51,284.9,162.4,730.8,0,0,808.5,370.2,6
43.33,420,180,810,0,1170,0,0,0
46.67,294,180,810,0,1170,0,126,0
48.03,294,180,810,0,936,234,126,0
49.48,294,180,810,0,702,468,126,0
43.13,294,180,810,0,468,702,126,0
52.16,294,168,910,0,900,0,126,6
51.33,294,168,910,0,720,180,126,6
50.07,294,168,910,0,540,360,126,6
46.22,294,168,910,0,360,540,126,6
36.2,300,191,761,0,875,0,169,4
35.4,300,191,761,0,656,206,169,4.2
34.7,300,191,761,0,437,413,169,4.2
32.8,300,191,761,0,219,619,169,4.3
30.3,300,194,761,0,0,825,158,4.3
51.2,415,166,1065,0,750,0,0,4.15
48.1,415,166,1065,0,375,333,0,4.98
45.6,415,166,852,195,375,333,0,5.81
47.6,415,166,1065,0,750,0,0,2.91
46.6,415,166,1065,0,375,333,0,5.4
47,415,166,852,195,375,333,0,6.23
46.3,418,184,1172,0,335,0,167,3.334
32.1,418,184,1160,0,0,331,166,3.8874
35.2,418,184,580,580,332,0,166,3.8874
38.2,418,184,574,574,0,328,164,3.8874
46.4,385,184,1172,0,335,0,200,3.465
52.9,385,184,1160,0,0,331,199,3.85
32.5,385,184,580,580,332,0,199,4.235
31.8,385,184,574,574,0,328,197,4.62
81.9,437,193,646,0,787,0,201,8
80.7,437,193,485,145,591,184,201,8
79.5,437,193,323,290,394,369,201,8
75,437,193,0,581,0,737,201,8
80.3,437,193,646,0,0,737,201,8
78,437,193,0,581,787,0,201,8
49.09,250,112,650,0,1150,0,320,1.8
49.98,250,112,650,0,920,250,320,1.8
55.64,250,112,670,0,540,540,320,2.25
56.75,250,112,720,0,0,1040,320,2.85
58.3,290,112,650,0,1150,0,300,1.8
60.25,290,112,650,0,920,250,300,1.8
58.52,290,112,670,0,540,540,300,2.25
70.56,290,112,720,0,0,1040,300,2.85
63.36,320,112,650,0,1150,0,280,1.8
64.13,320,112,650,0,920,250,280,1.8
66.82,320,112,720,0,540,540,280,2.25
72.81,320,112,720,0,0,1040,280,2.85
